province,district,sub-district,unit_number,village,place,latitude,longitude
ลำปาง,งาว,บ้านหวด,7,6,ศาลากลางหมู่บ้าน บ้านใหม่ธานี,18.680245284,99.932964365
ลำปาง,งาว,บ้านอ้อน,1,1,ศาลากลางหมู่บ้าน บ้านแม่กวัก,18.769763497,99.915958135
ลำปาง,งาว,บ้านอ้อน,2,2,ศาลากลางหมู่บ้าน บ้านอ้อนใต้,18.769763497,99.915958135
ลำปาง,งาว,บ้านอ้อน,3,3,ศาลากลางหมู่บ้าน บ้านอ้อนเหนือ,18.769763497,99.915958135
ลำปาง,งาว,บ้านอ้อน,4,4,โรงเรียนปงมะโอ,18.769763497,99.915958135
ลำปาง,งาว,บ้านอ้อน,5,5,ศาลาประชาคมบ้านห้วยหก,18.769763497,99.915958135
ลำปาง,งาว,บ้านอ้อน,6,6,โรงเรียนบ้านอ้อน สาขาหัวทุ่ง,18.758150844,99.913989941
ลำปาง,งาว,บ้านอ้อน,7,7,ศาลาวัดบ้านแม่กวัก,18.769763497,99.915958135
ลำปาง,งาว,บ้านอ้อน,8,8,โรงเรียนบ้านแม่กวัก สาขาขุนอ้อนพัฒนา,18.769763497,99.915958135
ลำปาง,งาว,บ้านแหง,1,1,ศาลากลางหมู่บ้าน บ้านแหงเหนือ,18.763416665,100.008960945
ลำปาง,งาว,บ้านแหง,2,2,ศาลาอเนกประสงค์วัดบุญยืน,18.763416665,100.008960945
ลำปาง,งาว,บ้านแหง,3,3,ศาลาวัดร่องเห็ด,18.763416665,100.008960945
ลำปาง,งาว,บ้านแหง,4,4,ศาลากลางหมู่บ้าน บ้านบ่อห้อ,18.749443771947,100.031145442139
ลำปาง,งาว,บ้านแหง,5,4,ศาลาวัดศรีบุญเรือง,18.763416665,100.008960945
ลำปาง,งาว,บ้านแหง,6,5,ศาลาประชาคม บ้านแม่งอน,18.763416665,100.008960945
ลำปาง,งาว,บ้านแหง,7,6,ศาลาประชาคม บ้านทุ่งโป่ง,18.763416665,100.008960945
ลำปาง,งาว,บ้านแหง,8,7,ศาลาหน้าวัดแหงเหนือ,18.763416665,100.008960945
ลำปาง,งาว,บ้านแหง,9,8,ศาลาสำนักสงฆ์ใหม่สามัคคี,18.763416665,100.008960945
ลำปาง,งาว,บ้านโป่ง,1,1,ศาลากลางหมู่บ้าน บ้านสบเอิม,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,2,2,ศาลากลางหมู่บ้าน SML,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,3,3,ศาลากลางหมู่บ้าน บ้านสบพลึง,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,4,4,ศาลาโป่งหนองบัว,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,5,5,ศาลากลางหมู่บ้าน บ้านเป๊าะ,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,6,6,ศาลากลางหมู่บ้าน บ้านเหล่า,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,7,7,ศาลากลางหมู่บ้าน บ้านหาดเชี่ยว,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,8,8,ศาลากลางหมู่บ้าน บ้านต้นมื่น,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,9,9,ศาลาอเนกประสงค์ หมู่ที่ 9,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,10,10,ศาลาวัดบ้านเป๊าะ,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,11,11,ศาลากลางหมู่บ้าน บ้านสันโค้งพัฒนา,18.715089103,99.938774312
ลำปาง,งาว,บ้านโป่ง,12,12,ศาลากลางหมู่บ้าน บ้านโป่งแก้ว,18.715089103,99.938774312
ลำปาง,งาว,ปงเตา,1,1,ศาลากลางหมู่บ้าน บ้านปงเตา,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,2,2,หอประชุมประจำหมู่บ้าน บ้านห้วยอูน,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,3,3,สำนักสงฆ์พร้าวใหม่,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,4,4,ศาลากลางหมู่บ้าน บ้านปันเหนือ,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,5,5,ศาลาวัดปันใต้,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,6,6,โรงเรียนบ่อสี่เหลี่ยม,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,7,7,ศาลากลางหมู่บ้าน บ้านขุนแหง,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,8,8,ศาลากลางหมู่บ้าน บ้านหัวทุ่ง,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,9,9,ศาลากลางหมู่บ้าน บ้านปันพัฒนา,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,10,10,ศาลาหลางหมู่บ้าน บ้านห้วยน้ำตื้น,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,11,11,ศาลากลางหมู่บ้าน บ้านสามเหลี่ยม,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,12,12,ศาลากลางหมู่บ้าน บ้านปงเตา,18.827520056,99.936257849
ลำปาง,งาว,ปงเตา,13,13,ศาลากลางหมู่บ้าน พร้าวใหม่พัฒนา,18.827520056,99.936257849
ลำปาง,งาว,หลวงเหนือ,1,1,ศาลาวัดสบแหง,18.753231493,99.982452267
ลำปาง,งาว,หลวงเหนือ,2,2,ศาลาวัดดอกป้าน,18.753231493,99.982452267
ลำปาง,งาว,หลวงเหนือ,3,3,ศาลาวัดหลวง,18.753231493,99.982452267
ลำปาง,งาว,หลวงเหนือ,4,4,ศาลาวัดต้นต้อง,18.753231493,99.982452267
ลำปาง,งาว,หลวงเหนือ,5,4,ศาลาอเนกประสงค์หนองเต่า,18.753231493,99.982452267
ลำปาง,งาว,หลวงเหนือ,6,5,ศาลาวัดศรีมุงเมือง,18.753231493,99.982452267
ลำปาง,งาว,หลวงเหนือ,7,6,ศาลาวัดทุ่งโป้ศรัทธาราม,18.753231493,99.982452267
ลำปาง,งาว,หลวงใต้,1,1,ศาลากลางหมู่บ้าน บ้านน้ำจำ,18.734239064,99.970909836
ลำปาง,งาว,หลวงใต้,2,2,ศาลาอเนกประสงค์บ้านทุ่ง,18.748556397,99.977056729
ลำปาง,งาว,หลวงใต้,3,3,ศาลาวัดน้ำล้อม,18.734239064,99.970909836
ลำปาง,งาว,หลวงใต้,4,4,ศาลาวัดปงคก,18.734239064,99.970909836
ลำปาง,งาว,หลวงใต้,5,5,ศาลาวัดทุ่งสุ่ม,18.734239064,99.970909836
ลำปาง,งาว,หลวงใต้,6,6,ศาลาวัดวังควาย,18.734239064,99.970909836
ลำปาง,งาว,หลวงใต้,7,7,ศาลากลางหมู่บ้าน บ้านดง,18.734239064,99.970909836
ลำปาง,งาว,หลวงใต้,8,8,ศาลากลางหมู่บ้าน บ้านใหม่เจริญสุข,18.734239064,99.970909836
ลำปาง,งาว,แม่ตีบ,1,1,โรงเรียนบ้านทุ่ง,18.616152188,100.041142173
ลำปาง,งาว,แม่ตีบ,2,1,ศาลาวัดดอกคำใต้,18.613166321,100.03668231
ลำปาง,งาว,แม่ตีบ,3,2,ศาลากลางหมู่บ้าน บ้านแม่ตีบหลวง,18.613166321,100.03668231
ลำปาง,งาว,แม่ตีบ,4,2,ศาลาวัดแม่ตีบหลวง,18.613166321,100.03668231
ลำปาง,งาว,แม่ตีบ,5,3,โรงเรียนบ้านแม่ตีบ,18.599695076,100.032754859
ลำปาง,งาว,แม่ตีบ,6,4,โรงเรียนบ้านงิ้วงาม,18.553226645,100.011741948
ลำปาง,งาว,แม่ตีบ,7,5,ศาลาอเนกประสงค์บ้านแม่งาว,18.613166321,100.03668231
ลำปาง,วังเหนือ,ทุ่งฮั้ว,1,1,อาคารศาลาประชาคมหมู่บ้านบ้านทุ่งปี้ หมู่ที่ 1,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,2,2,อาคารอเนกประสงค์วัดแม่ทรายเงิน หมู่ที่ 2,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,3,3,อาคารอเนกประสงค์บ้านผาดิน หมู่ที่ 3,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,4,4,อาคารอเนกประสงค์บ้านทุ่งฮั้ว หมู่ที่ 4,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,5,5,โรงเรียนบ้านวังมน หมู่ที่ 5,19.202266183,99.622974537
ลำปาง,วังเหนือ,ทุ่งฮั้ว,6,6,อาคารอเนกประสงค์บ้านผาแดง หมู่ที่ 6,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,7,7,ศาลาการเปรียญวัดห้วยกันทา หมู่ที่ 7,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,8,8,อาคารอเนกประสงค์บ้านแม่เลียบ หมู่ที่ 8,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,9,9,อาคารอเนกประสงค์บ้านบนทุ่ง หมู่ที่ 9,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,10,10,อาคารอเนกประสงค์บ้านป่าบง -ฮ่องไฮ หมู่ที่10,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,11,11,อาคารอเนกประสงค์บ้านทุ่งฮั้วพัฒนา หมู่ที่ 11,19.232624347,99.634438429
ลำปาง,วังเหนือ,ทุ่งฮั้ว,12,12,อาคารอเนกประสงค์บ้านทุ่งวังทอง หมู่ที่ 12,19.232624347,99.634438429
ลำปาง,วังเหนือ,บ้านใหม่,1,1,อาคารชมรมผู้สูงอายุบ้านทัพป่าเส้า หมู่ที่ 1 บ้านทัพป่าเส้า,19.145704247,99.619237904
ลำปาง,วังเหนือ,บ้านใหม่,2,2,อาคารอเนกประสงค์บ้านใหม่พัฒนา หมู่ที่ 2 บ้านใหม่พัฒนา,19.145704247,99.619237904
ลำปาง,วังเหนือ,บ้านใหม่,3,6,หอประชุมโรงเรียนชุมชนบ้านใหม่  หมู่ที่ 6 บ้านใหม่,19.145704247,99.619237904
ลำปาง,วังเหนือ,บ้านใหม่,4,6,อาคารรวมใจผู้สูงอายุบ้านใหม่ หมู่ที่ 6 บ้านใหม่,19.145704247,99.619237904
ลำปาง,วังเหนือ,ร่องเคาะ,1,1,อาคารอเนกประสงค์บ้านผาช่อ หมู่ที่ 1,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,2,2,อาคารอเนกประสงค์บ้านห้วยก้อด หมู่ที่ 2,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,3,3,โรงเรียนบ้านป่าคา หมู่ที่ 3,19.001300754,99.610724375
ลำปาง,วังเหนือ,ร่องเคาะ,4,4,ศาลาการเปรียญวัดทุ่งฝูง หมู่ที่ 4,18.989337388887,99.630456510759
ลำปาง,วังเหนือ,ร่องเคาะ,5,5,อาคารอเนกประสงค์บ้านแม่ลืน หมู่ที่ 5,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,6,6,อาคารอเนกประสงค์บ้านแม่สงเหนือ หมู่ที่ 6,19.135983251,99.628372842
ลำปาง,วังเหนือ,ร่องเคาะ,7,7,ศาลาการเปรียญวัดสบลืน หมู่ที่ 7,18.967060720998,99.617265406818
ลำปาง,วังเหนือ,ร่องเคาะ,8,8,อาคารอเนกประสงค์บ้านดอนแก้ว หมู่ที่ 8,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,9,9,อาคารอเนกประสงค์บ้านร่องเคาะ หมู่ที่ 9,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,10,10,ศาลาการเปรียญวัดแม่สงใต้ หมู่ที่ 10,18.964841989318,99.592856718038
ลำปาง,วังเหนือ,ร่องเคาะ,11,11,อาคารอเนกประสงค์บ้านแสนตอ หมู่ที่ 11,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,12,12,หอประชุมประจำหมู่บ้านบ้านวังใหม่ หมู่ที่ 12,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,13,12,หอประชุมหมู่บ้าน (หลังใหม่) บ้านวังใหม่ หมู่ที่ 12,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,14,13,อาคารกองทุนหมู่บ้านบ้านทุ่งตุ้น หมู่ที่ 13,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,15,14,อาคารอเนกประสงค์บ้านห้วยน้ำ หมู่ที่ 14,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,16,15,อาคารศูนย์ฝึกอาชีพสตรีบ้านจำตอง หมู่ที่ 15,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,17,16,อาคารอเนกประสงค์บ้านต้นผึ้ง หมู่ที่ 16,18.982141096,99.610416493
ลำปาง,วังเหนือ,ร่องเคาะ,18,17,อาคารอเนกประสงค์บ้านวังนิตร หมู่ที่ 17,18.982141096,99.610416493
ลำปาง,วังเหนือ,วังซ้าย,1,1,อาคารอเนกประสงค์บ้านแม่ม่า หมู่ที่ 1,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังซ้าย,2,2,อาคารอเนกประสงค์บ้านใหม่หล่ายท่า หมู่ที่ 2,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังซ้าย,3,3,อาคารอเนกประสงค์บ้านหัวทุ่ง หมู่ที่ 3,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังซ้าย,4,4,อาคารอเนกประสงค์บ้านแม่สุกใน หมู่ที่ 4,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังซ้าย,5,5,อาคารอเนกประสงค์บ้านป่าแขม หมู่ที่ 5,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังซ้าย,6,6,อาคารอเนกประสงค์บ้านน้ำหลง หมู่ที่ 6,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังซ้าย,7,7,อาคารอเนกประสงค์บ้านแม่สุขวังเหนือ  หมู่ที่ 7,19.135983251,99.628372842
ลำปาง,วังเหนือ,วังซ้าย,8,8,อาคารอเนกประสงค์บ้านแม่สุขวังเหนือ หมู่ที่ 8,19.135983251,99.628372842
ลำปาง,วังเหนือ,วังซ้าย,9,9,อาคารที่ทำการกองทุนหมู่บ้าน บ้านแม่สุขป่าสัก หมู่ที่ 9,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังซ้าย,10,10,อาคารอเนกประสงค์บ้านสบม่า หมู่ที่ 10,19.144806266,99.62259216
ลำปาง,วังเหนือ,วังทรายคำ,1,1,อาคารอเนกประสงค์บ้านทุ่งฮี หมู่ที่ 1,19.052409485,99.635078694
ลำปาง,วังเหนือ,วังทรายคำ,2,2,อาคารอเนกประสงค์บ้านดง หมู่ที่ 2,19.052409485,99.635078694
ลำปาง,วังเหนือ,วังทรายคำ,3,3,อาคารอเนกประสงค์บ้านปงวัง หมู่ที่ 3,19.059504437754,99.626980870788
ลำปาง,วังเหนือ,วังทรายคำ,4,4,อาคารอเนกประสงค์บ้านต้นฮ่าง หมู่ที่ 4,19.052409485,99.635078694
ลำปาง,วังเหนือ,วังทรายคำ,5,5,อาคารอเนกประสงค์บ้านป่าฝาง หมู่ที่ 5,19.052409485,99.635078694
ลำปาง,วังเหนือ,วังทรายคำ,6,6,โรงเรียนบ้านก่อ หมู่ที่ 6,19.0531494,99.632262066
ลำปาง,วังเหนือ,วังทรายคำ,7,7,อาคารอเนกประสงค์บ้านป่าสัก หมู่ที่ 7,19.052409485,99.635078694
ลำปาง,วังเหนือ,วังทรายคำ,8,8,ศาลาการเปรียญวัดทุ่งห้า หมู่ที่ 8,19.072544751257,99.628510568118
ลำปาง,วังเหนือ,วังทรายคำ,9,9,อาคารอเนกประสงค์บ้านทุ่งพัฒนา หมู่ที่ 9,19.052409485,99.635078694
ลำปาง,วังเหนือ,วังทอง,1,1,อาคารอเนกประสงค์บ้านตึงใต้ หมู่ที่ 1,19.115569166,99.697687605
ลำปาง,วังเหนือ,วังทอง,2,2,โรงเรียนวังทองวิทยา หมู่ที่ 2,19.038681706,99.706051459
ลำปาง,วังเหนือ,วังทอง,3,3,ศาลาการเปรียญวัดปงถ้ำ หมู่ที่ 3,19.122447291912,99.70042495043
ลำปาง,วังเหนือ,วังทอง,4,4,อาคารอเนกประสงค์บ้านแม่เย็น หมู่ที่ 4,19.115569166,99.697687605
ลำปาง,วังเหนือ,วังทอง,5,5,อาคารอเนกประสงค์บ้านป่าลัน หมู่ที่ 5,19.115569166,99.697687605
ลำปาง,วังเหนือ,วังทอง,6,6,อาคารอเนกประสงค์บ้านสารภี หมู่ที่ 6,19.115569166,99.697687605
ลำปาง,วังเหนือ,วังทอง,7,7,เต้นท์ชั่วคราวที่ทำการองค์การบริหารส่วนตำบลวังทอง หมู่ที่ 7,19.115569166,99.697687605
ลำปาง,วังเหนือ,วังทอง,8,8,อาคารอเนกประสงค์บ้านเมืองทอง หมู่ที่ 8,19.115569166,99.697687605
ลำปาง,วังเหนือ,วังทอง,9,9,อาคารอเนกประสงค์บ้านร่มโพธิ์ทอง หมู่ที่ 9,19.115569166,99.697687605
ลำปาง,วังเหนือ,วังเหนือ,1,1,อาคารชมรมผู้สูงอายุบ้านทัพป่าเส้า หมู่ที่ 1 บ้านทัพป่าเส้า,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังเหนือ,2,3,อาคารอเนกประสงค์บ้านใหม่พัฒนา หมู่ที่ 2 บ้านใหม่พัฒนา,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังเหนือ,3,4,หอประชุมโรงเรียนชุมชนบ้านใหม่  หมู่ที่ 6 บ้านใหม่,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังเหนือ,4,4,อาคารรวมใจผู้สูงอายุบ้านใหม่ หมู่ที่ 6 บ้านใหม่,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังเหนือ,5,5,อาคารอเนกประสงค์บ้านแพะใต้ หมู่ 5,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังเหนือ,6,7,อาคารอเนกประสงค์บ้านแม่เฮียว หมู่ 7,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังเหนือ,7,8,อาคารอเนกประสงค์บ้านป่าเหียง หมู่ 8,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังเหนือ,8,9,ศาลาการเปรียญวัดขันหอม บ้านขันหอม หมู่ 9,19.145732887,99.617792518
ลำปาง,วังเหนือ,วังแก้ว,1,1,ศาลาประชาคมหน้าวัดแม่หีด หมู่ที่ 1,19.274838207,99.6375892
ลำปาง,วังเหนือ,วังแก้ว,2,2,ศาลาการเปรียญวัดบ้านฮ่าง หมู่ที่ 2,19.274838207,99.6375892
ลำปาง,วังเหนือ,วังแก้ว,3,3,อาคาร SML บ้านป่าแหน่ง หมู่ที่ 3,19.271866660226,99.637525472621
ลำปาง,วังเหนือ,วังแก้ว,4,4,ศาลาการเปรียญวัดค่ายวัง หมู่ที่ 4,19.284191578293,99.631077190689
ลำปาง,วังเหนือ,วังแก้ว,5,5,อาคารอเนกประสงค์บ้านฮ่างวังแก้ว หมู่ที่ 5,19.274838207,99.6375892
ลำปาง,วังเหนือ,วังแก้ว,6,6,อาคารกองทุนหมู่บ้านห้วยป้าย หมู่ที่ 6,19.274838207,99.6375892
ลำปาง,วังเหนือ,วังแก้ว,7,7,อาคารอเนกประสงค์ประจำหมู่บ้าน หมู่ที่ 7,19.274838207,99.6375892
ลำปาง,วังเหนือ,วังใต้,1,1,ศาลาการเปรียญวัดบ้านกวาง หมู่ที่ 1,19.074002076,99.618264911
ลำปาง,วังเหนือ,วังใต้,2,2,อาคารอเนกประสงค์บ้านวังโป่ง หมู่ที่ 2,19.074002076,99.618264911
ลำปาง,วังเหนือ,วังใต้,3,3,อาคารอเนกประสงค์บ้านไผ่กลาง หมู่ที่ 3,19.074002076,99.618264911
ลำปาง,วังเหนือ,วังใต้,4,4,อาคารอเนกประสงค์บ้านแม่โป่ง หมู่ที่ 4,19.074002076,99.618264911
ลำปาง,วังเหนือ,วังใต้,5,5,โรงเรียนบ้านแม่พริก หมู่ที่ 5,19.101528065,99.601578895
ลำปาง,วังเหนือ,วังใต้,6,6,อาคารอเนกประสงค์บ้านหมุ้น หมู่ที่ 6,19.074002076,99.618264911
ลำปาง,วังเหนือ,วังใต้,7,7,อาคารอเนกประสงค์บ้านโปร่งเจริญ หมู่ที่ 7,19.074002076,99.618264911
ลำปาง,เมืองปาน,ทุ่งกว๋าว,1,1,ศูนย์เรียนรู้โรงเรียนบ้านถ้ำ,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,2,2,อาคารอเนกประสงค์หมู่บ้าน,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,3,3,อาคารอเนกประสงค์ประจำหมู่บ้าน,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,4,4,หอประชุมโรงเรียนบ้านจ๋ง,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,5,5,ศาลาอเนกประสงค์ประจำหมู่บ้าน,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,6,5,ศาลาวัดทุ่งกว๋าว,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,7,6,ศาลาวัดทุ่งปง,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,8,7,ศาลาวัดปลายนาหลวง,18.560390828,99.457517534
ลำปาง,เมืองปาน,ทุ่งกว๋าว,9,8,ศาลาหอประชุมหมู่บ้าน,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,10,9,โรงเรียนบ้านปลายนาเฮี้ย,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,11,9,ศาลาวัดบ้านปลายนาเฮี้ย,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,12,10,หอประชุมประจำหมู่บ้าน,18.584164099,99.471396299
ลำปาง,เมืองปาน,ทุ่งกว๋าว,13,11,ศาลาหอประชุมประจำหมู่บ้าน,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,14,12,ศาลาอเนกประสงค์ประจำหมู่บ้าน,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,15,13,ศาลาอเนกประสงค์วัดบ้านถ้ำหลวง,18.534817256,99.477912967
ลำปาง,เมืองปาน,ทุ่งกว๋าว,16,14,ศาลาโรงทอผ้า,18.534817256,99.477912967
ลำปาง,เมืองปาน,บ้านขอ,1,1,ศาลาวัดทุ่งส้าน,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,2,2,หอประชุมประจำหมู่บ้าน,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,3,3,ศาลาประชาคมหน้าวัดบ้านป่าเหว,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,4,3,ศาลาวัดบ้านทุ่งบอน (ป่าเหว),18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,5,4,หอประชุมประจะหมู่บ้าน,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,6,5,หอประชุมประจำหมู่บ้าน,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,7,6,โรงเรียนบ้านแม่กองปิน,18.62051262,99.475644072
ลำปาง,เมืองปาน,บ้านขอ,8,7,โรงเรียนบ้านปางดะ,18.686342894,99.489965873
ลำปาง,เมืองปาน,บ้านขอ,9,8,ศาลาวัดม่วงหลวง,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,10,9,โรงเรียนบ้านขอวิทยา,18.65300943,99.474415359
ลำปาง,เมืองปาน,บ้านขอ,11,10,ศาลาอเนกประสงค์ประจำหมู่บ้าน,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,12,11,ศาลาประชาคมบ้านทุ่งบอม,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,13,12,ศาลาวัดบ้านกลาง,18.662270577,99.496831649
ลำปาง,เมืองปาน,บ้านขอ,14,13,ศาลาประชาคมประจำหมู่บ้าน,18.662270577,99.496831649
ลำปาง,เมืองปาน,หัวเมือง,1,1,โรงเรียนบ้านขาม,18.983085017,99.523908754
ลำปาง,เมืองปาน,หัวเมือง,2,2,โรงเรียนบ้านกล้วย,18.965019838,99.521062685
ลำปาง,เมืองปาน,หัวเมือง,3,3,ศาลาประชาคมหมู่บ้าน,18.96366578,99.521461997
